CMS Code,Quant Budget,proj year,proj date,Project Type
6BBC06,750.0,In 2016,Nov 2016,Structure
ABAR10,5e3,In 2016,Mar 2016,LDI
ABAR10,5e3,In 2016,Mar 2016,LDI
ABAR10,3e3,In 2016,Apr 2016,LDI
ABSE10,1500.0,In 2015,Jun 2015,3DA
AEGO10,1500.0,In 2015,Feb 2015,3DA
AEGO10,500.0,In 2015,Apr 2015,3DA
AEGO10,500.0,In 2015,Jul 2015,3DA
AEGO10,1e3,In 2016,Apr 2016,LDI
AEGO10,5e3,In 2016,Nov 2016,LDI
AEGO10,500.0,In 2016,Nov 2016,LDI
AFCX10,1500.0,In 2015,Jan 2015,3DA
AFCX10,500.0,In 2015,Apr 2015,3DA
AFCX10,15e3,In 2015,Oct 2015,ALM
AFCX10,2500.0,In 2016,Jul 2016,LDI
AFCX10,3500.0,In 2016,Aug 2016,ALM
AFFW10,500.0,In 2015,Feb 2015,3DA
AFFW10,500.0,In 2015,Apr 2015,3DA
AFFW10,5e3,In 2016,May 2016,LDI
AFFW10,500.0,In 2015,Jul 2015,3DA
AFFW10,500.0,In 2015,Nov 2015,3DA
AFFW10,500.0,In 2016,Feb 2016,3DA
AFFW10,15e3,In 2016,May 2016,ALM
AFFW10,5e3,In 2016,Jun 2016,ALM
AFFW10,500.0,In 2016,Aug 2016,3DA
AFFW10,500.0,In 2016,Nov 2016,3DA
AGBA10,15e3,In 2014,Dec 2014,ALM
AGBA10,1500.0,In 2015,Jan 2015,3DA
AGBA10,2e3,In 2016,Jun 2016,LDI
AGBA10,5e3,In 2016,Nov 2016,LDI
Age UK (AC),1500.0,In 2015,Dec 2015,3DA
Age UK (HTA),1500.0,In 2015,Dec 2015,3DA
AGFA10,15e3,In 2015,Mar 2015,ALM
AGFA10,1500.0,In 2015,Mar 2015,3DA
AGFA10,2500.0,In 2015,May 2015,ALM
AGUK10,15e3,In 2014,Aug 2014,ALM
AGUK10,500.0,In 2016,Mar 2016,Structure
AGUK10,15e3,In 2014,Mar 2014,ALM
AGUK10,1750.0,In 2016,Dec 2016,ALM
AGUK10,750.0,In 2016,Dec 2016,Structure
AGUK10 (AC),1e4,In 2016,Sep 2016,ALM
